name,p_link,price,store_name
AUKEY USB C Wall Charger 60W Power Delivery 3.0 $24,https://slickdeals.net/f/14032733-aukey-usb-c-wall-charger-60w-power-delivery-3-0-24?src=catpagev2,$24,Amazon
Beyerdynamic Grey/Brown 718238 Circumaural Lagoon ANC Wireless Headphones (+ $100GC) @Newegg $289,https://slickdeals.net/f/14031932-beyerdynamic-grey-brown-718238-circumaural-lagoon-anc-wireless-headphones-100gc-newegg-289?src=catpagev2,$289,Newegg
"LG Premier Pro 5.3"" HD 16GB Tracfone with 1500 Min/Text/Data $50.  Free shipping from HSN.",https://slickdeals.net/f/14032274-lg-premier-pro-5-3-hd-16gb-tracfone-with-1500-min-text-data-50-free-shipping-from-hsn?src=catpagev2,,
YMMV- iPad Mini 64GB (2019) - $329,https://slickdeals.net/f/14032610-ymmv-ipad-mini-64gb-2019-329?src=catpagev2,,
Polk Signature Series S30 Center Channel Speaker (Classic Brown Walnut) - $172 - BHPHOTO,https://slickdeals.net/f/14032589-polk-signature-series-s30-center-channel-speaker-classic-brown-walnut-172-bhphoto?src=catpagev2,$172,B&H Photo Video
"Lenovo.com - Yoga C940 14"" i7 16gb 1TB SSD - $1265 - YMMV",https://slickdeals.net/f/14033174-lenovo-com-yoga-c940-14-i7-16gb-1tb-ssd-1265-ymmv?src=catpagev2,"$1,265",
"Samsung Q900 8K TVs Floor Models (Satisfactory) at Best Buy-82"" for $4,200, 75"" for $3,000, 65"" for $2,100 $4200",https://slickdeals.net/f/14032868-samsung-q900-8k-tvs-floor-models-satisfactory-at-best-buy-82-for-4-200-75-for-3-000-65-for-2-100-4200?src=catpagev2,"$4,200",Best Buy
"Easy Canvas Prints: 16"" x 20"" Custom Canvas Print (Unframed)",https://slickdeals.net/f/14030591-easy-canvas-prints-16-x-20-custom-canvas-print-unframed-free-shipping-17-99?src=catpagev2,$18,
"AUKEY USB C Wall Charger 30W Power Delivery 3.0 (White), Buy 2 Get 1 Free $38",https://slickdeals.net/f/14032718-aukey-usb-c-wall-charger-30w-power-delivery-3-0-white-buy-2-get-1-free-38?src=catpagev2,$38,Amazon
Harman Kardon GO + PLAY Portable Bluetooth Speaker $199.99 + Free Shipping,https://slickdeals.net/f/14032511-harman-kardon-go-play-portable-bluetooth-speaker-199-99-free-shipping?src=catpagev2,,
TaoTronics SoundSurge 60 Active Noise Cancelling Headphones $33.99 AC + FSSS,https://slickdeals.net/f/14030918-taotronics-soundsurge-60-active-noise-cancelling-headphones-33-99-ac-fsss?src=catpagev2,$33.99,Amazon
