Category,URL,Name,Store Name,Price,,,,,,,,https://slickdeals.net/deal-categories/
Autos,https://slickdeals.net/f/13985756-cyclegear-icon-konflict-jacket-150-00-fs?src=catpagev2,Cyclegear: Icon Konflict Jacket $150.00 + FS,Cycle Gear,$150 ,,,,,,,,
Autos,https://slickdeals.net/f/13986656-momentum-niro-wifi-garage-controller-with-camera-49-99?src=catpagev2,MOMENTUM NIRO WIFI Garage controller with CAMERA $49.99,Costco Wholesale,$49.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13984646-amazon-rain-x-fusion-wiper-blade-21-inch-free-shipping-5-23?src=catpagev2,Amazon - Rain-X Fusion Wiper Blade - 21 inch - Free Shipping $5.23,Amazon,$5.23 ,,,,,,,,
Autos,https://slickdeals.net/f/13983587-269-harbor-freight-heavy-duty-folding-trailer-4-x8-1195lbs-capapcity-269-99-instore-only-with-coupon?src=catpagev2,"Harbor Freight Stores: 48"" x 96"" Haul-Master Heavy Duty Folding Trailer",Harbor Freight,$270 ,,,,,,,,
Autos,https://slickdeals.net/f/13985042-champion-3500-watt-dual-fuel-rv-ready-portable-generator-393-12?src=catpagev2,Champion 3500-Watt Dual Fuel RV Ready Portable Generator $393.12,Amazon,$393.12 ,,,,,,,,
Autos,https://slickdeals.net/f/13981598-costco-members-4-15-4-28-150-off-instantly-set-of-4-michelin-tires?src=catpagev2,Costco Members: 4/15-4/28 -  $150 off Instantly Set of 4 Michelin Tires,Costco Wholesale,,,,,,,,,
Autos,https://slickdeals.net/f/13982669-viking-4a-fully-automatic-microprocessor-controlled-battery-charger-maintainer-23-with-coupon-shipping?src=catpagev2,VIKING 4A Fully Automatic Microprocessor Controlled Battery Charger/Maintainer $23 with coupon + shipping,Harbor Freight,$22.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13981811-garmin-zumo-396-lmt-s-motorcycle-gps-navigator-2-pack-32gb-sandisk-extreme-plus-microsdhc-memory-cards-250-free-s-h?src=catpagev2,Garmin Zumo 396 LMT-S Motorcycle GPS Navigator + 2-Pack 32GB Sandisk Extreme Plus MicroSDHC Memory Cards $250 + free s/h,BuyDig,$249.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13981571-ymmv-bridgestone-tires-70-off-rebate-plus-20-stackable-coupon-at-firestone-or-pm-to-costco-example-800-for-4-new-bridgestone-driveguard-runflats-installed?src=catpagev2,YMMV Bridgestone tires $70 off rebate plus 20% stackable coupon at Firestone or PM to Costco - Example $800 for 4 new Bridgestone Driveguard runflats installed,Costco Wholesale,,,,,,,,,
Autos,https://slickdeals.net/f/13979510-nokian-wr-g4-119-83-each-119-83?src=catpagev2,NOKIAN WR G4 @119.83 each $119.83,SimpleTire,$119.83 ,,,,,,,,
